Time,FP1
5.8515625,-83
5.85546875,-82
5.859375,-71
5.86328125,-53
5.8671875,-32
5.87109375,-10
5.875,8
5.87890625,20
5.8828125,29
5.88671875,35
5.890625,38
5.89453125,40
5.8984375,39
5.90234375,33
5.90625,19
5.91015625,2
5.9140625,-13
5.91796875,-21
5.921875,-21
5.92578125,-16
5.9296875,-10
5.93359375,-8
5.9375,-10
5.94140625,-15
5.9453125,-16
5.94921875,-12
5.953125,-1
5.95703125,17
5.9609375,36
5.96484375,48
5.96875,57
5.97265625,65
5.9765625,73
5.98046875,79
5.984375,85
5.98828125,90
5.9921875,86
5.99609375,70
6.0,43
6.00390625,13
6.0078125,-17
6.01171875,-44
6.015625,-61
6.01953125,-67
6.0234375,-67
6.02734375,-62
6.03125,-53
6.03515625,-40
6.0390625,-27
6.04296875,-17
6.046875,-10
6.05078125,-2
6.0546875,8
6.05859375,19
6.0625,31
6.06640625,40
6.0703125,44
6.07421875,43
6.078125,40
6.08203125,39
6.0859375,39
6.08984375,36
6.09375,25
6.09765625,8
6.1015625,-9
6.10546875,-15
6.109375,-9
6.11328125,6
6.1171875,21
6.12109375,27
6.125,17
6.12890625,0
6.1328125,-14
6.13671875,-20
6.140625,-20
6.14453125,-18
6.1484375,-19
6.15234375,-25
6.15625,-29
6.16015625,-26
6.1640625,-13
6.16796875,3
6.171875,14
6.17578125,15
6.1796875,7
6.18359375,-5
6.1875,-12
6.19140625,-11
6.1953125,-3
6.19921875,6
6.203125,15
6.20703125,19
6.2109375,17
6.21484375,10
6.21875,2
6.22265625,-4
6.2265625,-8
6.23046875,-11
6.234375,-14
6.23828125,-21
6.2421875,-29
6.24609375,-37
6.25,-40
6.25390625,-38
6.2578125,-31
6.26171875,-24
6.265625,-18
6.26953125,-15
6.2734375,-10
6.27734375,-4
6.28125,-1
6.28515625,-3
6.2890625,-8
6.29296875,-13
6.296875,-19
6.30078125,-24
6.3046875,-28
6.30859375,-32
6.3125,-43
6.31640625,-60
6.3203125,-74
6.32421875,-79
6.328125,-70
6.33203125,-50
6.3359375,-22
6.33984375,6
6.34375,23
6.34765625,25
6.3515625,15
6.35546875,3
6.359375,-4
6.36328125,-4
6.3671875,4
6.37109375,13
6.375,17
6.37890625,15
6.3828125,8
6.38671875,3
6.390625,1
6.39453125,3
6.3984375,7
6.40234375,7
6.40625,4
6.41015625,1
6.4140625,2
6.41796875,7
6.421875,12
6.42578125,16
6.4296875,19
6.43359375,18
6.4375,16
6.44140625,18
6.4453125,26
6.44921875,39
6.453125,51
6.45703125,59
6.4609375,58
6.46484375,51
6.46875,38
6.47265625,25
6.4765625,15
6.48046875,9
6.484375,3
6.48828125,-1
6.4921875,-3
6.49609375,1
6.5,9
6.50390625,18
6.5078125,26
6.51171875,29
6.515625,27
6.51953125,23
6.5234375,20
6.52734375,17
6.53125,15
6.53515625,11
6.5390625,6
6.54296875,1
6.546875,-4
6.55078125,-12
6.5546875,-21
6.55859375,-30
6.5625,-36
6.56640625,-40
6.5703125,-43
6.57421875,-48
6.578125,-57
6.58203125,-67
6.5859375,-74
6.58984375,-77
6.59375,-71
6.59765625,-58
