FP1,FP2,PG1,PG2,F7,F3,F2,F4,F8,C3,C2,C4,P3,P4,P2,T3,T4,T5,T6,O1,OZ,O2,ECG
-18,-17,-17,-1,37,7,13,35,20,-17,-3,-15,-3,-27,8,53,9,12,55,50,47,-3,-144
-20,-22,-21,-8,27,-3,19,31,25,-18,-5,-17,1,-34,4,51,-5,0,43,38,48,-1,-134
-22,-25,-18,-12,18,-13,24,25,28,-20,-5,-15,1,-38,0,45,-14,-9,27,25,46,4,-129
-19,-21,-7,-12,17,-19,33,22,33,-17,1,-9,1,-37,0,36,-15,-13,12,12,45,13,-129
-8,-10,10,-6,27,-13,46,24,42,-10,14,6,5,-27,5,28,-9,-10,3,5,46,30,-129
6,5,28,1,43,-1,62,32,48,-1,30,24,17,-13,11,23,0,-4,0,8,44,50,-127
12,12,36,0,53,9,73,37,47,4,40,36,33,-1,8,18,5,0,-4,15,33,65,-119
7,7,28,-11,49,11,73,33,38,1,39,36,46,0,-7,8,3,-2,-14,16,14,67,-107
-10,-6,10,-30,31,6,61,19,25,-10,29,26,49,-10,-29,-8,-3,-7,-33,6,-8,56,-96
-31,-23,-10,-50,2,-4,39,0,9,-25,13,12,39,-28,-52,-27,-11,-15,-55,-13,-30,38,-89
-50,-38,-25,-65,-29,-17,14,-22,-7,-41,-4,-1,21,-46,-70,-42,-21,-19,-73,-32,-44,18,-84
-59,-48,-33,-70,-53,-27,-6,-41,-21,-53,-18,-9,3,-57,-77,-51,-32,-17,-80,-45,-47,0,-79
-58,-51,-35,-66,-67,-33,-19,-53,-30,-61,-28,-11,-10,-59,-76,-52,-40,-10,-77,-49,-43,-13,-74
-53,-52,-37,-58,-71,-37,-26,-58,-39,-68,-39,-12,-18,-57,-71,-47,-47,-3,-67,-44,-41,-24,-66
-48,-51,-42,-52,-70,-41,-31,-58,-46,-71,-53,-14,-21,-51,-65,-38,-50,2,-53,-36,-42,-34,-53
