FP1,FP2,PG1,PG2,F7,F3,F2,F4,F8,C3,C2,C4,P3,P4,P2,T3,T4,T5,T6,O1,OZ,O2,ECG
16,25,12,14,9,21,-10,0,-13,37,27,25,-25,23,24,23,29,9,28,-2,9,-9,-441
16,24,14,17,12,26,-3,4,-10,39,31,26,-24,21,24,20,28,9,27,1,8,-9,-427
16,23,17,21,16,31,5,9,-5,39,35,26,-21,18,22,17,24,9,24,5,7,-8,-414
17,22,22,24,23,36,15,17,3,38,38,27,-17,16,20,13,19,10,22,12,9,-5,-399
18,22,27,28,33,42,30,26,14,36,40,29,-10,15,18,8,14,13,20,19,12,0,-388
19,22,31,30,43,46,45,36,26,33,39,30,-2,14,16,4,9,15,18,27,16,6,-381
19,23,33,31,51,49,58,43,36,30,37,30,5,14,15,1,7,17,16,32,19,11,-376
19,23,34,32,54,49,67,48,44,28,35,30,11,14,15,-1,6,18,14,34,20,14,-371
18,23,33,33,53,48,69,48,47,28,36,30,13,14,16,-1,6,17,13,32,19,14,-365
18,24,32,35,48,47,64,46,47,30,38,30,11,15,17,1,7,14,12,25,15,12,-358
19,26,32,37,43,46,56,43,46,32,43,31,7,17,19,3,10,9,12,15,10,8,-349
22,28,33,41,39,46,47,40,45,36,48,32,5,19,21,5,12,4,12,5,6,6,-337
26,29,36,43,37,47,41,39,45,39,51,33,6,18,21,7,14,0,12,-3,3,7,-322
29,29,37,44,37,46,37,37,45,40,51,33,9,16,19,6,15,-3,11,-7,1,9,-304
29,28,37,41,36,43,34,33,43,40,47,29,12,12,18,6,15,-4,10,-9,-2,11,-284
28,25,34,36,33,37,30,27,37,37,40,23,12,8,16,5,15,-6,7,-9,-6,11,-257
24,21,27,30,25,27,22,17,26,33,31,14,7,7,15,4,15,-7,4,-10,-11,7,-221
19,18,17,22,13,16,8,3,9,27,22,4,-4,8,14,4,15,-8,1,-12,-16,-2,-177
15,16,5,15,-1,4,-8,-13,-10,21,12,-6,-19,11,14,4,16,-10,-2,-15,-22,-14,-132
12,15,-8,7,-16,-8,-24,-29,-29,14,3,-16,-35,15,14,4,16,-11,-5,-19,-27,-26,-90
8,13,-20,-2,-29,-19,-37,-43,-43,7,-7,-23,-46,17,13,3,15,-10,-7,-20,-28,-35,-59
0,7,-31,-15,-40,-31,-45,-54,-54,-5,-19,-30,-54,14,9,1,9,-7,-10,-18,-28,-41,-40
