Time,O2
7.53515625,20
7.5390625,-11
7.54296875,-34
7.546875,-47
7.55078125,-50
7.5546875,-42
7.55859375,-30
7.5625,-20
7.56640625,-13
7.5703125,-7
7.57421875,3
7.578125,15
7.58203125,26
7.5859375,29
7.58984375,25
7.59375,18
7.59765625,14
7.6015625,15
7.60546875,23
7.609375,31
7.61328125,34
7.6171875,26
7.62109375,7
7.625,-12
7.62890625,-24
7.6328125,-27
7.63671875,-25
7.640625,-22
7.64453125,-15
7.6484375,-7
7.65234375,-7
7.65625,-17
7.66015625,-30
7.6640625,-39
7.66796875,-41
7.671875,-35
7.67578125,-24
7.6796875,-14
7.68359375,-12
7.6875,-17
7.69140625,-23
7.6953125,-26
7.69921875,-23
7.703125,-15
7.70703125,-7
7.7109375,-3
7.71484375,2
7.71875,12
7.72265625,24
7.7265625,35
7.73046875,39
7.734375,37
7.73828125,28
7.7421875,19
7.74609375,15
7.75,18
7.75390625,26
7.7578125,37
7.76171875,44
7.765625,42
7.76953125,34
7.7734375,26
7.77734375,20
7.78125,11
7.78515625,-6
7.7890625,-28
7.79296875,-48
7.796875,-60
7.80078125,-65
7.8046875,-61
7.80859375,-45
7.8125,-22
7.81640625,-1
7.8203125,14
7.82421875,25
7.828125,33
7.83203125,34
7.8359375,28
7.83984375,24
7.84375,28
7.84765625,37
7.8515625,41
7.85546875,36
7.859375,29
7.86328125,25
7.8671875,19
7.87109375,10
7.875,3
7.87890625,-4
7.8828125,-14
7.88671875,-22
7.890625,-23
7.89453125,-17
7.8984375,-7
7.90234375,3
7.90625,12
7.91015625,20
7.9140625,24
7.91796875,27
7.921875,29
7.92578125,32
7.9296875,35
7.93359375,38
7.9375,39
7.94140625,36
7.9453125,29
7.94921875,20
7.953125,12
7.95703125,10
7.9609375,11
7.96484375,17
7.96875,23
7.97265625,24
7.9765625,17
7.98046875,1
7.984375,-17
7.98828125,-30
7.9921875,-35
7.99609375,-28
8.0,-17
8.00390625,-7
8.0078125,0
8.01171875,8
8.015625,18
8.01953125,27
8.0234375,34
8.02734375,34
8.03125,26
8.03515625,15
8.0390625,11
8.04296875,18
8.046875,30
8.05078125,42
8.0546875,48
8.05859375,44
8.0625,28
8.06640625,1
8.0703125,-32
8.07421875,-67
8.078125,-95
8.08203125,-113
8.0859375,-121
8.08984375,-117
8.09375,-99
8.09765625,-74
8.1015625,-45
8.10546875,-16
8.109375,9
8.11328125,28
8.1171875,37
8.12109375,40
8.125,46
8.12890625,59
8.1328125,75
8.13671875,89
8.140625,96
8.14453125,93
8.1484375,82
8.15234375,64
8.15625,44
8.16015625,22
8.1640625,3
8.16796875,-11
8.171875,-18
8.17578125,-19
8.1796875,-17
8.18359375,-15
8.1875,-16
8.19140625,-18
8.1953125,-15
8.19921875,-6
8.203125,4
8.20703125,8
8.2109375,4
8.21484375,-7
8.21875,-20
8.22265625,-28
8.2265625,-23
8.23046875,-8
8.234375,7
8.23828125,18
8.2421875,18
8.24609375,6
8.25,-11
8.25390625,-27
8.2578125,-42
8.26171875,-56
8.265625,-70
8.26953125,-81
8.2734375,-85
8.27734375,-80
8.28125,-71
8.28515625,-64
8.2890625,-59
8.29296875,-56
8.296875,-53
8.30078125,-44
8.3046875,-27
8.30859375,-2
8.3125,24
8.31640625,45
8.3203125,57
8.32421875,59
8.328125,51
8.33203125,32
8.3359375,9
8.33984375,-7
8.34375,-7
8.34765625,7
8.3515625,29
8.35546875,41
8.359375,38
8.36328125,22
8.3671875,-3
8.37109375,-33
8.375,-56
8.37890625,-61
8.3828125,-47
8.38671875,-22
8.390625,8
8.39453125,41
8.3984375,68
8.40234375,81
8.40625,83
8.41015625,85
8.4140625,89
8.41796875,94
8.421875,94
8.42578125,88
8.4296875,74
8.43359375,55
8.4375,39
8.44140625,25
8.4453125,13
8.44921875,0
8.453125,-14
8.45703125,-33
8.4609375,-56
8.46484375,-78
8.46875,-93
8.47265625,-104
8.4765625,-112
8.48046875,-116
8.484375,-114
8.48828125,-106
8.4921875,-91
8.49609375,-72
8.5,-50
8.50390625,-24
8.5078125,7
8.51171875,37
8.515625,61
8.51953125,77
8.5234375,79
8.52734375,68
8.53125,50
8.53515625,35
8.5390625,29
8.54296875,28
8.546875,25
8.55078125,17
8.5546875,2
8.55859375,-14
8.5625,-25
8.56640625,-26
8.5703125,-19
8.57421875,-16
8.578125,-21
8.58203125,-34
8.5859375,-46
8.58984375,-54
8.59375,-56
8.59765625,-50
8.6015625,-34
8.60546875,-15
8.609375,1
8.61328125,16
8.6171875,33
8.62109375,50
8.625,59
8.62890625,57
8.6328125,47
8.63671875,32
8.640625,15
8.64453125,-1
8.6484375,-13
8.65234375,-17
8.65625,-17
8.66015625,-17
8.6640625,-19
8.66796875,-22
8.671875,-26
8.67578125,-34
8.6796875,-44
8.68359375,-53
8.6875,-55
8.69140625,-49
8.6953125,-42
8.69921875,-34
8.703125,-26
8.70703125,-19
8.7109375,-12
8.71484375,-5
8.71875,4
8.72265625,14
8.7265625,21
8.73046875,21
8.734375,17
8.73828125,17
8.7421875,22
8.74609375,29
8.75,34
8.75390625,32
8.7578125,24
8.76171875,9
8.765625,-8
8.76953125,-21
8.7734375,-23
8.77734375,-21
8.78125,-22
8.78515625,-31
8.7890625,-41
8.79296875,-45
8.796875,-44
8.80078125,-39
8.8046875,-31
8.80859375,-20
8.8125,-11
8.81640625,-6
8.8203125,1
8.82421875,16
8.828125,32
8.83203125,39
8.8359375,35
8.83984375,27
8.84375,18
8.84765625,14
8.8515625,14
8.85546875,19
8.859375,20
8.86328125,12
8.8671875,-6
8.87109375,-25
8.875,-35
8.87890625,-33
8.8828125,-20
8.88671875,-2
8.890625,12
8.89453125,15
8.8984375,12
8.90234375,8
8.90625,5
8.91015625,3
8.9140625,8
8.91796875,22
8.921875,39
8.92578125,50
8.9296875,53
8.93359375,50
8.9375,40
8.94140625,22
8.9453125,2
8.94921875,-16
8.953125,-28
8.95703125,-35
8.9609375,-38
8.96484375,-37
8.96875,-35
8.97265625,-31
8.9765625,-26
8.98046875,-20
8.984375,-9
8.98828125,11
8.9921875,29
8.99609375,37
9.0,31
9.00390625,16
9.0078125,1
9.01171875,-8
9.015625,-9
9.01953125,-5
9.0234375,-3
9.02734375,-9
9.03125,-20
9.03515625,-31
9.0390625,-39
9.04296875,-43
9.046875,-45
9.05078125,-42
9.0546875,-34
9.05859375,-26
9.0625,-19
9.06640625,-12
9.0703125,-7
9.07421875,-8
9.078125,-9
9.08203125,-5
9.0859375,4
9.08984375,12
9.09375,16
9.09765625,17
9.1015625,18
9.10546875,21
9.109375,22
9.11328125,22
9.1171875,23
