Time,OZ
5.60546875,-2
5.609375,25
5.61328125,44
5.6171875,51
5.62109375,51
5.625,45
5.62890625,34
5.6328125,18
5.63671875,2
5.640625,-11
5.64453125,-22
5.6484375,-31
5.65234375,-36
5.65625,-40
5.66015625,-49
5.6640625,-61
5.66796875,-69
5.671875,-67
5.67578125,-55
5.6796875,-31
5.68359375,-3
5.6875,22
5.69140625,36
5.6953125,38
5.69921875,31
5.703125,25
5.70703125,22
5.7109375,23
5.71484375,26
5.71875,31
5.72265625,34
5.7265625,32
5.73046875,23
5.734375,8
5.73828125,-11
5.7421875,-33
5.74609375,-52
5.75,-62
5.75390625,-58
5.7578125,-41
5.76171875,-18
5.765625,8
5.76953125,30
5.7734375,46
5.77734375,52
5.78125,54
5.78515625,57
5.7890625,62
5.79296875,67
5.796875,70
5.80078125,68
5.8046875,57
5.80859375,39
5.8125,21
5.81640625,9
5.8203125,-1
5.82421875,-12
5.828125,-28
5.83203125,-49
5.8359375,-76
5.83984375,-104
5.84375,-123
5.84765625,-127
5.8515625,-115
5.85546875,-93
5.859375,-62
5.86328125,-23
5.8671875,18
5.87109375,53
5.875,74
5.87890625,79
5.8828125,72
5.88671875,61
5.890625,54
5.89453125,53
5.8984375,55
5.90234375,55
5.90625,47
5.91015625,31
5.9140625,13
5.91796875,-1
5.921875,-8
5.92578125,-12
5.9296875,-12
5.93359375,-11
5.9375,-9
5.94140625,-9
5.9453125,-12
5.94921875,-14
5.953125,-11
5.95703125,-2
5.9609375,10
5.96484375,23
5.96875,32
5.97265625,35
5.9765625,36
5.98046875,39
5.984375,44
5.98828125,45
5.9921875,38
5.99609375,26
6.0,16
6.00390625,9
6.0078125,2
6.01171875,-5
6.015625,-16
6.01953125,-32
6.0234375,-51
6.02734375,-60
6.03125,-54
6.03515625,-36
6.0390625,-17
6.04296875,0
6.046875,15
6.05078125,24
6.0546875,24
6.05859375,17
6.0625,11
6.06640625,8
6.0703125,8
6.07421875,12
6.078125,18
6.08203125,23
6.0859375,24
6.08984375,22
6.09375,22
6.09765625,29
6.1015625,42
6.10546875,56
6.109375,66
6.11328125,72
6.1171875,73
6.12109375,69
6.125,66
6.12890625,64
6.1328125,62
6.13671875,57
6.140625,48
6.14453125,37
6.1484375,27
6.15234375,23
6.15625,27
6.16015625,34
6.1640625,40
6.16796875,41
6.171875,36
6.17578125,29
6.1796875,30
6.18359375,40
6.1875,57
6.19140625,71
6.1953125,78
6.19921875,72
6.203125,51
6.20703125,18
6.2109375,-15
6.21484375,-36
6.21875,-45
6.22265625,-43
6.2265625,-37
6.23046875,-32
6.234375,-27
6.23828125,-20
6.2421875,-10
6.24609375,4
6.25,22
6.25390625,38
6.2578125,47
6.26171875,50
6.265625,53
6.26953125,59
6.2734375,66
6.27734375,68
6.28125,65
6.28515625,57
6.2890625,47
6.29296875,34
6.296875,21
6.30078125,10
6.3046875,-2
6.30859375,-17
6.3125,-33
6.31640625,-41
6.3203125,-37
6.32421875,-18
6.328125,11
6.33203125,44
6.3359375,71
6.33984375,81
6.34375,76
6.34765625,60
6.3515625,40
6.35546875,20
6.359375,6
6.36328125,-1
6.3671875,-5
6.37109375,-7
6.375,-10
6.37890625,-12
6.3828125,-17
6.38671875,-24
6.390625,-32
6.39453125,-40
6.3984375,-47
6.40234375,-56
6.40625,-63
6.41015625,-61
6.4140625,-50
6.41796875,-32
6.421875,-9
6.42578125,14
6.4296875,33
6.43359375,42
6.4375,42
6.44140625,37
6.4453125,27
6.44921875,17
6.453125,10
6.45703125,9
6.4609375,12
6.46484375,18
6.46875,24
6.47265625,26
6.4765625,21
6.48046875,9
6.484375,-7
6.48828125,-19
6.4921875,-24
6.49609375,-18
6.5,-6
6.50390625,3
6.5078125,4
6.51171875,-4
6.515625,-18
6.51953125,-29
6.5234375,-28
6.52734375,-17
6.53125,-6
6.53515625,-2
6.5390625,-7
6.54296875,-16
6.546875,-24
6.55078125,-27
6.5546875,-25
6.55859375,-19
6.5625,-16
6.56640625,-22
6.5703125,-33
6.57421875,-40
6.578125,-41
6.58203125,-38
6.5859375,-32
6.58984375,-19
6.59375,2
6.59765625,24
6.6015625,39
6.60546875,48
6.609375,51
6.61328125,49
6.6171875,40
6.62109375,32
6.625,29
6.62890625,27
6.6328125,18
6.63671875,1
