Time,C3
4.58984375,-43
4.59375,-40
4.59765625,-45
4.6015625,-54
4.60546875,-59
4.609375,-56
4.61328125,-39
4.6171875,-10
4.62109375,24
4.625,52
4.62890625,71
4.6328125,80
4.63671875,80
4.640625,73
4.64453125,64
4.6484375,54
4.65234375,44
4.65625,37
4.66015625,34
4.6640625,31
4.66796875,20
4.671875,3
4.67578125,-16
4.6796875,-30
4.68359375,-36
4.6875,-27
4.69140625,-8
4.6953125,10
4.69921875,18
4.703125,13
4.70703125,1
4.7109375,-9
4.71484375,-12
4.71875,-7
4.72265625,0
4.7265625,5
4.73046875,6
4.734375,6
4.73828125,9
4.7421875,18
4.74609375,33
4.75,47
4.75390625,52
4.7578125,47
4.76171875,37
4.765625,28
4.76953125,25
4.7734375,28
4.77734375,33
4.78125,42
4.78515625,54
4.7890625,66
4.79296875,77
4.796875,86
4.80078125,91
4.8046875,89
4.80859375,85
4.8125,84
4.81640625,86
4.8203125,86
4.82421875,77
4.828125,58
4.83203125,34
4.8359375,13
4.83984375,0
4.84375,-7
4.84765625,-14
4.8515625,-26
4.85546875,-44
4.859375,-64
4.86328125,-76
4.8671875,-73
4.87109375,-58
4.875,-42
4.87890625,-33
4.8828125,-32
4.88671875,-36
4.890625,-42
4.89453125,-45
4.8984375,-42
4.90234375,-39
4.90625,-38
4.91015625,-36
4.9140625,-32
4.91796875,-29
4.921875,-28
4.92578125,-26
4.9296875,-23
4.93359375,-16
4.9375,-7
4.94140625,7
4.9453125,23
4.94921875,36
4.953125,42
4.95703125,44
4.9609375,43
4.96484375,38
4.96875,24
4.97265625,5
4.9765625,-11
4.98046875,-19
4.984375,-17
4.98828125,-9
4.9921875,2
4.99609375,12
5.0,16
5.00390625,15
5.0078125,13
5.01171875,10
5.015625,1
5.01953125,-12
5.0234375,-23
5.02734375,-27
5.03125,-29
5.03515625,-29
5.0390625,-28
5.04296875,-29
5.046875,-32
5.05078125,-36
5.0546875,-38
5.05859375,-42
5.0625,-47
5.06640625,-50
5.0703125,-45
5.07421875,-30
5.078125,-9
5.08203125,5
5.0859375,4
5.08984375,-9
5.09375,-25
5.09765625,-39
5.1015625,-45
5.10546875,-44
5.109375,-44
5.11328125,-51
5.1171875,-59
5.12109375,-55
5.125,-37
5.12890625,-7
5.1328125,23
5.13671875,39
5.140625,32
5.14453125,7
5.1484375,-23
5.15234375,-42
5.15625,-45
5.16015625,-38
5.1640625,-27
5.16796875,-21
5.171875,-26
5.17578125,-42
5.1796875,-62
5.18359375,-74
5.1875,-76
5.19140625,-71
5.1953125,-66
5.19921875,-61
5.203125,-60
5.20703125,-67
5.2109375,-74
5.21484375,-75
5.21875,-68
5.22265625,-57
5.2265625,-45
5.23046875,-33
5.234375,-21
5.23828125,-11
5.2421875,0
5.24609375,16
5.25,33
5.25390625,44
5.2578125,44
5.26171875,36
5.265625,26
5.26953125,17
5.2734375,8
5.27734375,5
5.28125,7
5.28515625,5
5.2890625,-6
5.29296875,-20
5.296875,-34
5.30078125,-46
5.3046875,-55
5.30859375,-57
5.3125,-47
5.31640625,-28
5.3203125,-6
5.32421875,15
5.328125,26
5.33203125,24
5.3359375,13
5.33984375,4
5.34375,2
5.34765625,5
5.3515625,11
5.35546875,12
5.359375,6
5.36328125,-4
5.3671875,-11
5.37109375,-14
5.375,-16
5.37890625,-18
5.3828125,-19
5.38671875,-19
5.390625,-17
5.39453125,-11
5.3984375,-5
5.40234375,-2
5.40625,-7
5.41015625,-14
5.4140625,-16
5.41796875,-11
5.421875,-1
5.42578125,13
5.4296875,27
5.43359375,33
5.4375,31
5.44140625,25
5.4453125,17
5.44921875,11
5.453125,10
5.45703125,15
5.4609375,19
5.46484375,19
5.46875,12
5.47265625,1
5.4765625,-14
5.48046875,-28
5.484375,-37
5.48828125,-36
5.4921875,-26
5.49609375,-11
5.5,8
5.50390625,26
5.5078125,40
5.51171875,50
5.515625,59
5.51953125,67
5.5234375,73
5.52734375,74
5.53125,73
5.53515625,70
5.5390625,66
5.54296875,64
5.546875,63
5.55078125,56
5.5546875,41
5.55859375,21
5.5625,3
5.56640625,-11
5.5703125,-20
5.57421875,-25
5.578125,-29
5.58203125,-33
5.5859375,-34
5.58984375,-31
5.59375,-26
5.59765625,-21
5.6015625,-20
5.60546875,-26
5.609375,-38
5.61328125,-50
5.6171875,-59
5.62109375,-65
5.625,-73
5.62890625,-79
5.6328125,-78
5.63671875,-72
5.640625,-60
5.64453125,-43
5.6484375,-25
5.65234375,-15
5.65625,-18
5.66015625,-30
5.6640625,-42
5.66796875,-47
5.671875,-42
5.67578125,-29
5.6796875,-13
5.68359375,1
5.6875,10
5.69140625,16
5.6953125,20
5.69921875,26
5.703125,33
5.70703125,40
5.7109375,44
5.71484375,42
5.71875,33
5.72265625,20
5.7265625,3
5.73046875,-15
5.734375,-25
5.73828125,-25
5.7421875,-19
5.74609375,-12
5.75,-10
5.75390625,-15
5.7578125,-22
5.76171875,-24
5.765625,-17
5.76953125,-5
5.7734375,3
5.77734375,4
5.78125,-6
5.78515625,-20
5.7890625,-33
5.79296875,-38
5.796875,-32
5.80078125,-22
5.8046875,-15
5.80859375,-10
5.8125,-5
5.81640625,0
5.8203125,0
5.82421875,-8
5.828125,-19
5.83203125,-28
5.8359375,-36
5.83984375,-43
5.84375,-45
5.84765625,-40
5.8515625,-32
5.85546875,-24
5.859375,-15
5.86328125,-2
5.8671875,9
5.87109375,14
5.875,10
5.87890625,1
5.8828125,-9
5.88671875,-17
5.890625,-28
5.89453125,-37
5.8984375,-41
5.90234375,-43
5.90625,-48
5.91015625,-51
5.9140625,-44
5.91796875,-29
5.921875,-15
5.92578125,-6
5.9296875,2
5.93359375,5
5.9375,1
5.94140625,-3
5.9453125,0
5.94921875,11
5.953125,22
5.95703125,27
5.9609375,23
5.96484375,8
5.96875,-14
5.97265625,-43
5.9765625,-73
5.98046875,-93
5.984375,-99
5.98828125,-93
5.9921875,-81
5.99609375,-69
6.0,-60
6.00390625,-56
6.0078125,-51
6.01171875,-43
6.015625,-28
6.01953125,-6
6.0234375,16
6.02734375,28
6.03125,32
6.03515625,34
6.0390625,36
6.04296875,36
6.046875,31
6.05078125,23
6.0546875,12
6.05859375,-2
6.0625,-16
6.06640625,-27
6.0703125,-33
6.07421875,-34
6.078125,-33
6.08203125,-33
6.0859375,-30
6.08984375,-21
6.09375,-4
6.09765625,18
6.1015625,42
6.10546875,64
6.109375,80
6.11328125,86
6.1171875,79
6.12109375,65
6.125,52
6.12890625,39
6.1328125,25
6.13671875,12
6.140625,9
6.14453125,16
6.1484375,27
6.15234375,41
6.15625,55
6.16015625,63
6.1640625,59
6.16796875,50
6.171875,44
6.17578125,43
6.1796875,41
6.18359375,34
6.1875,23
6.19140625,11
6.1953125,1
6.19921875,-3
6.203125,-3
6.20703125,-3
6.2109375,-9
6.21484375,-23
6.21875,-39
6.22265625,-50
6.2265625,-50
6.23046875,-42
6.234375,-32
6.23828125,-20
6.2421875,-10
6.24609375,-1
6.25,4
6.25390625,4
6.2578125,0
6.26171875,-4
6.265625,-9
6.26953125,-15
6.2734375,-15
6.27734375,-7
6.28125,5
6.28515625,15
6.2890625,17
6.29296875,8
6.296875,-10
6.30078125,-31
6.3046875,-46
6.30859375,-46
6.3125,-31
6.31640625,-9
6.3203125,10
6.32421875,21
6.328125,24
6.33203125,24
6.3359375,23
6.33984375,26
6.34375,31
6.34765625,37
6.3515625,43
6.35546875,47
6.359375,43
6.36328125,31
6.3671875,17
6.37109375,3
6.375,-13
6.37890625,-31
6.3828125,-44
6.38671875,-53
6.390625,-58
6.39453125,-58
6.3984375,-50
6.40234375,-36
6.40625,-21
6.41015625,-6
6.4140625,9
6.41796875,22
6.421875,31
6.42578125,41
6.4296875,49
6.43359375,51
6.4375,45
6.44140625,35
6.4453125,22
6.44921875,4
6.453125,-15
6.45703125,-28
6.4609375,-35
6.46484375,-37
6.46875,-35
6.47265625,-28
6.4765625,-18
6.48046875,-14
6.484375,-18
6.48828125,-26
6.4921875,-29
6.49609375,-24
6.5,-9
6.50390625,11
6.5078125,28
6.51171875,33
6.515625,29
6.51953125,21
6.5234375,15
6.52734375,15
6.53125,24
6.53515625,34
6.5390625,38
6.54296875,37
6.546875,31
6.55078125,17
6.5546875,-6
6.55859375,-34
6.5625,-60
6.56640625,-82
6.5703125,-95
6.57421875,-95
6.578125,-83
6.58203125,-65
6.5859375,-47
6.58984375,-35
6.59375,-28
6.59765625,-17
6.6015625,0
6.60546875,20
6.609375,40
6.61328125,54
6.6171875,55
6.62109375,44
6.625,27
6.62890625,10
6.6328125,-4
6.63671875,-13
6.640625,-19
6.64453125,-27
